"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age","Socio-economic classification","Household income","Value","Value_type","Sample size","Standard Error","Lower CI","Upper CI"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","17.0","%","35371","0.199790931","16.54","17.48329817"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16-24","All","All","25.1","%","2790","0.820736685","23.16","27.01789164"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","25-34","All","All","21.0","%","5254","0.561916822","19.68","22.32082154"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","35-44","All","All","19.8","%","5826","0.52167067","18.53","20.98609175"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","45-54","All","All","17.4","%","6087","0.486138089","16.28","18.56337501"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","55-64","All","All","13.5","%","5689","0.45250823","12.4","14.52528845"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","65-74","All","All","10.2","%","5296","0.415780146","9.22","11.17258981"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","75+","All","All","6.0","%","4429","0.356312388","5.14","6.818724567"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","Male","16+","All","All","17.4","%","16176","0.297811508","16.66","18.06116414"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","Female","16+","All","All","16.7","%","19195","0.26909033","16.05","17.31477294"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Managerial and professional occupations","All","17.2","%","11760","0.348103756","16.39","18.0320416"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Intermediate occupations","All","16.3","%","8300","0.405835236","15.39","17.29488373"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Routine and manual occupations","All","16.1","%","12620","0.327033381","15.32","16.85339713"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Never worked and long-term unemployed","All","17.6","%","1322","1.046563497","15.1","20.02666253"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Full time students","All","23.6","%","1200","1.225378962","20.7","26.45983403"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Not classified","All","11.3","%","169","2.433097301","5.55","16.99892678"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","Less than £10,000","16.5","%","4618","0.545749574","15.18","17.74910013"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","£10,000 to less than £20,000","15.8","%","7155","0.430977105","14.77","16.7934704"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","£20,000 to less than £30,000","16.5","%","5161","0.516112217","15.24","17.66907469"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","£30,000 to less than £40,000","17.6","%","3778","0.61913227","16.11","19.02474792"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","£40,000 to less than £50,000","18.2","%","2670","0.746810324","16.45","19.9622769"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","£50,000 or more","19.2","%","5588","0.526638956","17.94","20.41372852"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","No income stated/Not enough information provided ","15.9","%","6401","0.456920034","14.81","16.96272273"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Asian","ONS 2011  5 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","18.6","%","1824","0.912019804","16.5","20.79490225"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Black","ONS 2011  5 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","16.9","%","959","1.209126606","14.02","19.70847197"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White British","ONS 2011 18 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","16.7","%","30073","0.215040144","16.19","17.19877212"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White Irish","ONS 2011 18 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","20.6","%","322","2.25535656","15.33","25.94298925"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Gypsy or Irish Traveller","ONS 2011 18 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","?","%","12","?","?","?"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other White background","ONS 2011 18 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","17.2","%","1573","0.952518087","15.01","19.48621257"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Mixed White and Black Caribbean","ONS 2011 18 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","29.0","%","120","4.140182765","19.21","38.68856734"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Mixed White and Black African","ONS 2011 18 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","?","%","46","?","?","?"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Mixed White and Asian","ONS 2011 18 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","23.5","%","80","4.743250525","12.38","34.69623188"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other Mixed/Multiple ethnic background","ONS 2011 18 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","29.0","%","93","4.704626098","17.92","40.05138341"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Indian","ONS 2011 18 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","20.3","%","767","1.452502832","16.89","23.72098995"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Pakistani","ONS 2011 18 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","20.4","%","398","2.018208653","15.61","25.10091868"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Bangladeshi","ONS 2011 18 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","17.1","%","138","3.204030638","9.55","24.62208511"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Chinese","ONS 2011 18 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.6","%","169","2.713511211","8.18","20.94732522"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other Asian background","ONS 2011 18 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","15.2","%","352","1.912777767","10.69","19.68318174"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Black African","ONS 2011 18 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","16.0","%","564","1.545274508","12.41","19.67510614"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Black Caribbean","ONS 2011 18 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","17.3","%","350","2.023337628","12.57","22.09183186"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other Black background","ONS 2011 18 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","?","%","45","?","?","?"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Arab","ONS 2011 18 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","9.9","%","88","3.184672775","2.42","17.39681448"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other ethnic group","ONS 2011 18 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","16.0","%","148","3.013270694","8.91","23.08442515"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Mixed","ONS 2011  5 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","27.2","%","339","2.41651735","21.5","32.87158005"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Other ","ONS 2011  5 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","13.8","%","236","2.242920738","8.49","19.04336994"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2013/14","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","16.8","%","31980","0.208937867","16.28","17.26624957"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","15.9","%","33350","0.200457491","15.47","16.41431678"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16-24","All","All","22.1","%","2409","0.845807622","20.14","24.12136141"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","25-34","All","All","20.5","%","4785","0.583099364","19.08","21.82357833"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","35-44","All","All","18.9","%","5436","0.530648107","17.62","20.11464864"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","45-54","All","All","16.8","%","5645","0.497384606","15.61","17.95125012"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","55-64","All","All","12.5","%","5336","0.452841129","11.44","13.57144701"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","65-74","All","All","9.0","%","5384","0.3908573","8.12","9.96213101"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","75+","All","All","5.9","%","4355","0.358232402","5.1","6.7844093"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","Male","16+","All","All","16.7","%","15030","0.303990198","15.95","17.38216193"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","Female","16+","All","All","15.3","%","18320","0.265609166","14.63","15.87479991"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Managerial and professional occupations","All","16.1","%","11298","0.345721588","15.28","16.90702499"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Intermediate occupations","All","15.2","%","7690","0.409431867","14.24","16.16512391"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Routine and manual occupations","All","15.5","%","11823","0.332577433","14.69","16.25274801"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Never worked and long-term unemployed","All","18.0","%","1310","1.061708627","15.51","20.50753138"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Full time students","All","18.9","%","1027","1.221589432","16.02","21.76967887"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Not classified","All","18.0","%","202","2.703598011","11.65","24.36679046"
